"Guid","CurrencyIsoCode","SBQQ__Active__c","SBQQ__AssetQuoteLineQuantity__c","SBQQ__AssetQuoteLine__c","SBQQ__Quote__c","SBQQ__SubscriptionBasePrice__c","SBQQ__SubscriptionNetTotal__c","SBQQ__SubscriptionQuoteLine__c"
01922188-7495-4bcf-85f9-4014de69f7dd,USD,false,1.0,"#N/A","#N/A",10000.0,6000.0,"#N/A"
01929a55-68a7-43e6-8063-c5d0b5318754,USD,false,1.0,"#N/A","#N/A",17500.0,33000.0,"#N/A"
019b6218-f5c9-4b47-b9ae-41b9d401370d,USD,false,0.0,e4c735dd-6db7-43ff-b21e-71c6d8886f76,97529ff9-19b9-498b-92b0-0e9c4df521b6,17500.0,0.0,488ce022-a81e-44b7-b96b-a5bb8e018476
01b320f8-a9ae-45fe-b32b-fb431a007c10,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
01b3ab4b-bc5e-400c-83a2-e55ef496cad1,USD,false,1.0,"#N/A","#N/A",10000.0,14800.0,"#N/A"
01b8e064-3126-4616-8265-867115a6e621,USD,false,1.0,"#N/A","#N/A",10000.0,2400.0,"#N/A"
01ba5bc6-7966-403c-8d2b-0fe9d7084749,USD,false,1.0,edfd6412-8273-4232-bbb4-7c6a20725015,35096493-846d-4c04-bd1e-4919377d32aa,17500.0,3208.33,60bf78b5-8aa2-448e-a1c0-a1a5933fa721
01cc3d61-a239-4f70-9ffe-ea8fc6d48ade,USD,false,1.0,"#N/A","#N/A",17500.0,8500.19,"#N/A"
01cf40cd-7399-43dd-95ae-c14a3d949960,USD,false,1.0,"#N/A","#N/A",10000.0,6801.02,"#N/A"
01e3f63b-45de-48da-8871-7c31558cecff,USD,false,1.0,"#N/A","#N/A",10000.0,16041.67,"#N/A"
01e566ab-1991-4749-822c-12180638c246,USD,false,1.0,"#N/A","#N/A",10000.0,2000.0,"#N/A"
01e86ba1-e903-4148-a3a4-fe33b3d492d1,USD,false,1.0,"#N/A","#N/A",10000.0,5500.0,"#N/A"
01ea199b-72e0-4979-a3db-186415525b9d,USD,false,1.0,b3ce8919-8c22-4668-ad44-41f66995b4a9,55d84deb-eada-40cd-9da1-9f1287b32d5c,2000.0,3032.9,90484fe0-cee6-4f63-8168-7751c59825dc
01eb18a3-233a-466b-90ca-053986aa2b92,USD,false,1.0,05c3faee-8a2e-4b77-ad9a-f8ea54abe9e0,d1111754-8829-4edc-a651-816949735273,17500.0,8250.0,73ae297d-f7f9-4c36-a6df-17a95500a74e
01feb13b-cdac-4575-84aa-b13bc9ff1782,USD,false,1.0,"#N/A","#N/A",821.75,6075.32,"#N/A"
0202b2c7-9487-4203-bf2c-c29026c9cb06,USD,false,1.0,"#N/A","#N/A",17500.0,3500.0,"#N/A"
022c01f3-c40c-4705-a6c3-f45ec13410ff,USD,false,1.0,74560f32-04ee-4a40-9ef9-5bd39ed14391,6447e2b6-dda6-432e-bb1d-b786d596ab43,1700.5,39810.42,10ac51c9-c332-455a-b68c-bff4bb3cc569
0239ffbb-8104-47d8-bd48-6874059c1b1f,USD,false,1.0,"#N/A","#N/A",17500.0,5500.0,"#N/A"
024e9bae-b5b2-4f87-8895-7e38633326af,USD,false,1.0,"#N/A","#N/A",10000.0,11800.0,"#N/A"
0256ba40-aee8-4a81-94fc-244b9c72febe,USD,false,1.0,"#N/A","#N/A",2899.0,2853.47,"#N/A"
025b436d-220d-4013-8122-50c10ca49839,USD,false,1.0,"#N/A","#N/A",10000.0,4000.0,"#N/A"
0271d21f-c7b6-4101-9adf-69e3c317b0f3,USD,false,1.0,"#N/A","#N/A",10000.0,10139.13,"#N/A"
0277a437-7102-43e1-9bf4-e8fd51962e14,USD,false,1.0,"#N/A","#N/A",10000.0,2400.0,"#N/A"
027868b2-6d96-435f-9080-ef9d10ea89ed,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
0282ba2f-5d9d-4d8b-b074-537aa5211932,USD,false,4.0,"#N/A","#N/A",595.45,10578.91,"#N/A"
028b697a-5442-4bb1-9030-e601cc62a094,USD,false,0.0,"#N/A","#N/A",10000.0,0.0,"#N/A"
028eece5-6cd1-4e4b-9d8d-960d56335420,USD,false,1.0,"#N/A","#N/A",810.0,6411.88,"#N/A"
028f53bc-ffe8-4605-9aa2-d097b9404413,USD,false,1.0,87ad9ba3-4d13-493c-9ec8-eeccb240b8c5,847a70f9-48f9-44c0-bfc0-7eb954d8e134,253.0,3150.4,247b171d-bb00-4e2a-99a2-a49c636d27b1
0290a322-8936-4956-aad8-1354b233341c,USD,false,1.0,"#N/A","#N/A",17500.0,34449.0,"#N/A"
029a13b5-e711-4e25-b74d-652a6117f3cf,USD,false,1.0,174e8bcb-48c4-43f0-ba3a-b00db036b2a6,d5c3a623-7c81-4814-91ef-56197b78aeec,10000.0,2000.0,822bba5b-d318-4041-8286-8331cca30ce9
02ae9db2-6eb2-408f-912e-7039354b1174,USD,false,1.0,"#N/A","#N/A",253.0,3150.4,"#N/A"
02bcf549-fc62-4985-a009-5d0a6f9b3b7b,USD,false,1.0,"#N/A","#N/A",2000.0,5900.0,"#N/A"
02c4259a-cb95-4c65-99be-8b14969a188d,USD,false,1.0,"#N/A","#N/A",2000.0,2400.0,"#N/A"
02c593c3-c172-4e22-98d1-278ee14001e9,USD,false,1.0,"#N/A","#N/A",10000.0,1812.88,"#N/A"
02d71a9e-a9b3-4373-a7b2-5d18cfacd4be,USD,false,1.0,"#N/A","#N/A",10000.0,11800.0,"#N/A"
02dae699-ab9e-4703-a981-c25019054e92,USD,false,1.0,"#N/A","#N/A",17500.0,5500.0,"#N/A"
