"Guid","CurrencyIsoCode","SBQQ__IsRead__c","SBQQ__JobDetails__c","SBQQ__JobId__c","SBQQ__JobStatus__c","SBQQ__RecordId__c","SBQQ__RedirectUrl__c","SBQQ__Stacktrace__c"
5255d7f7-75be-4729-ab5a-e79ca0e01d20,USD,false,"#N/A",7073h00000bxody,"#N/A",8011I000002cGgtQAE::OrderCalculator,"#N/A","#N/A"
525e2d8f-9ab8-4c22-8f8e-52452858f3c5,USD,false,"#N/A",7073h00000bxngL,"#N/A",8011I000000aY8CQAU::OrderCalculator,"#N/A","#N/A"
5263404e-81ba-4996-8ea2-8fd21530bda7,USD,false,"#N/A",7073h00000bxpZR,"#N/A",a0l1I00000G6j4DQAR::QuoteCalculator,"#N/A","#N/A"
526f2f5d-27ac-49b5-8a47-ab9b1f9d9720,USD,false,"#N/A",7073h00000bxnQ7,"#N/A",a0l1I0000084PrhQAE::QuoteDocumentService,"#N/A","#N/A"
52719908-4f3d-4b26-8600-9854fe03b1b7,USD,false,"#N/A",7073h00000bxpbB,"#N/A",a0l1I00000G6rXvQAJ::QuoteCalculator,"#N/A","#N/A"
527d2f20-b9f6-4218-be72-c45f22031a9a,USD,false,"#N/A",7073h00001KHS9Y,"#N/A",a0l3h000000vrTAAAY::QuoteCalculator,"#N/A","#N/A"
5287ab7f-9336-4f0a-a7ae-ba6d2f00abf9,USD,false,"#N/A",7073h00000bxpXg,"#N/A",0061I00000HkQsTQAV::QuoteCalculator,"#N/A","#N/A"
52881fef-74d2-4be3-a127-29a6b6138229,USD,false,"#N/A",7073h00000bxpGV,Completed,a0l1I00000CQIMnQAP::QuoteCalculator,"#N/A","#N/A"
5290e8ec-bbbe-453d-a472-530b0c9f181c,USD,false,"#N/A",7073h00000bxp76,"#N/A",a0l1I00000CPcvcQAD::QuoteCalculator,"#N/A","#N/A"
5294865a-49ca-46ea-90b7-b1e4674cbc32,USD,false,"#N/A",7073h00000bxokF,Completed,a0l1I00000A2k8jQAB::QuoteCalculator,"#N/A","#N/A"
5296f2af-649a-4fb5-bbcc-6382f37a348e,USD,false,"#N/A",7073h00000bxpZj,"#N/A",a0l1I00000G6jYqQAJ::QuoteCalculator,"#N/A","#N/A"
529d076e-1e02-4895-8960-66ae08964762,USD,false,"#N/A",7073h00000bxnTq,"#N/A",a0l1I00000A1dbbQAB::QuoteDocumentService,"#N/A","#N/A"
52a188e5-b37f-4f9b-87f0-99e8e1007324,USD,false,"#N/A",7073h00000bxo1g,"#N/A",a0l1I000003dumHQAQ::QuoteCalculator,"#N/A","#N/A"
52a1b862-cb37-44d5-bd1e-5f83881c145c,USD,false,"#N/A",7073h00000bxpR2,"#N/A",0061I00000HjPl6QAF::QuoteCalculator,"#N/A","#N/A"
